influencer_id,campaign_type,date,category,follower_count,engagement_rate,impressions,clicks,add_to_cart,purchases,revenue
1,seasonal,2025-01-01,electronics,126958,0.12151601816043259,39158,4404,1142,203,8046.71
1,brand_collab,2025-01-02,home,126958,0.12151601816043259,48191,2733,273,116,2403.31
1,brand_collab,2025-01-03,fashion,126958,0.12151601816043259,3433,121,13,3,329.11
1,launch,2025-01-04,electronics,126958,0.12151601816043259,42434,4059,401,98,7801.66
1,discount,2025-01-05,fashion,126958,0.12151601816043259,2899,237,60,7,878.03
1,launch,2025-01-06,sports,126958,0.12151601816043259,15502,183,69,26,2163.96
1,brand_collab,2025-01-07,beauty,126958,0.12151601816043259,24483,663,148,17,3107.1
1,discount,2025-01-08,beauty,126958,0.12151601816043259,4943,572,113,23,2710.85
1,seasonal,2025-01-09,home,126958,0.12151601816043259,7873,574,108,60,8890.9
1,brand_collab,2025-01-10,beauty,126958,0.12151601816043259,2016,291,100,47,5289.45
1,discount,2025-01-11,fashion,126958,0.12151601816043259,22243,2112,309,76,3146.45
1,seasonal,2025-01-12,fashion,126958,0.12151601816043259,3027,154,8,1,145.15
1,brand_collab,2025-01-13,home,126958,0.12151601816043259,13666,278,48,7,1217.93
1,brand_collab,2025-01-14,electronics,126958,0.12151601816043259,49033,1145,205,89,12150.75
1,launch,2025-01-15,electronics,126958,0.12151601816043259,43530,3313,304,138,21327.78
1,seasonal,2025-01-16,fashion,126958,0.12151601816043259,1206,84,4,0,0.0
1,seasonal,2025-01-17,electronics,126958,0.12151601816043259,42523,3778,1108,187,23344.95
1,launch,2025-01-18,sports,126958,0.12151601816043259,34827,4945,1283,574,101763.82
1,launch,2025-01-19,electronics,126958,0.12151601816043259,43557,4298,1525,765,34767.96
1,discount,2025-01-20,electronics,126958,0.12151601816043259,19047,2343,851,220,6800.17
1,discount,2025-01-21,sports,126958,0.12151601816043259,7776,968,340,35,3746.47
1,brand_collab,2025-01-22,fashion,126958,0.12151601816043259,32968,882,148,84,5998.32
1,discount,2025-01-23,fashion,126958,0.12151601816043259,47576,2166,295,132,19183.75
1,brand_collab,2025-01-24,fashion,126958,0.12151601816043259,28728,1360,532,162,2637.3
1,brand_collab,2025-01-25,electronics,126958,0.12151601816043259,47717,1445,319,189,10582.2
1,launch,2025-01-26,electronics,126958,0.12151601816043259,45215,1956,596,169,21993.34
1,discount,2025-01-27,electronics,126958,0.12151601816043259,45542,1031,352,91,4134.91
1,brand_collab,2025-01-28,home,126958,0.12151601816043259,3811,399,22,7,371.24
1,brand_collab,2025-01-29,fashion,126958,0.12151601816043259,9680,1033,191,108,3901.93
1,brand_collab,2025-01-30,beauty,126958,0.12151601816043259,40384,1585,379,169,9028.74
2,brand_collab,2025-01-01,electronics,488951,0.08772811362392471,12835,597,238,138,16018.45
2,brand_collab,2025-01-02,fashion,488951,0.08772811362392471,8158,468,80,37,6676.69
2,launch,2025-01-03,electronics,488951,0.08772811362392471,13183,1702,642,316,43326.05
2,launch,2025-01-04,electronics,488951,0.08772811362392471,3557,503,196,47,3196.9
2,brand_collab,2025-01-05,electronics,488951,0.08772811362392471,47760,1653,93,32,1407.24
2,launch,2025-01-06,sports,488951,0.08772811362392471,21880,1162,278,98,12828.51
2,brand_collab,2025-01-07,fashion,488951,0.08772811362392471,9754,1315,356,177,18673.69
2,brand_collab,2025-01-08,fashion,488951,0.08772811362392471,30124,1272,285,110,17162.78
2,brand_collab,2025-01-09,sports,488951,0.08772811362392471,19589,2812,1041,296,3829.28
2,discount,2025-01-10,sports,488951,0.08772811362392471,32216,2815,704,415,10091.05
2,seasonal,2025-01-11,beauty,488951,0.08772811362392471,36743,4745,763,140,16210.91
2,launch,2025-01-12,electronics,488951,0.08772811362392471,39210,3521,295,120,23773.23
2,brand_collab,2025-01-13,sports,488951,0.08772811362392471,11729,1557,481,215,30846.47
2,launch,2025-01-14,fashion,488951,0.08772811362392471,6801,838,279,148,27160.32
2,brand_collab,2025-01-15,electronics,488951,0.08772811362392471,46091,5612,1557,702,113162.83
2,launch,2025-01-16,sports,488951,0.08772811362392471,14403,1311,266,115,8320.14
2,launch,2025-01-17,electronics,488951,0.08772811362392471,23677,2195,133,15,2494.41
2,seasonal,2025-01-18,home,488951,0.08772811362392471,3491,194,65,15,2900.97
